"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","subject","sona_id","button_pressed","responses","success","view_history","question_order","score","timepoint","SE_reward_offered","indifference_point","effort_level"
"299251.00000000006","","","survey-text","10","346133","6s7kfv","","","{""NAME OF WORDARRAY"":""htuom erutaef hsalf tolrah dimuh ystug eparg erehpsomta noegdulb tnirpmi bulc dnomaid kcirb erehwyna gnilwab snug drazah elbarolped cirabrab hself llub suoregnad ciremun raguoc ehcadaeh retfird hctah gnirb noitaredef sseltimil tsieh enobralloc yhtlaeh lanoitcif nif nessetaciled ylgnizama noinummoc emoceb ecilpmocca tneuqerf sselhtiaf suoedih citpyrc erupmi noitatupmoc erehwesle lavinrac ecnerehda elinevuj""}","","","","","","","",""
"994","","","instructions","11","347127","6s7kfv","","","","","[{""page_index"":0,""viewing_time"":993}]","","","","","",""
"3577","Press 'A' or 'L' to choose which option you would prefer  <i><b>right now</b></i>:
            <br></br><b>A</b> - <b>$12</b> for doing nothing <i><b>right now</b></i> 
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>50 words <i><b>right now</b></i></b>","65","html-keyboard-response","12","350706","6s7kfv","","","","","","","","0","12","0","50"
"2049","Press 'A' or 'L' to choose which option you would prefer  <i><b>right now</b></i>:
            <br></br><b>A</b> - <b>$6</b> for doing nothing <i><b>right now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>50 words <i><b>right now</b></i></b>","65","html-keyboard-response","13","353260","6s7kfv","","","","","","","","0","6","0","50"
"4461","Press 'A' or 'L' to choose which option you would prefer  <i><b>right now</b></i>:
            <br></br><b>A</b> - <b>$3</b> for doing nothing <i><b>right now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>50 words <i><b>right now</b></i></b>","76","html-keyboard-response","14","358226","6s7kfv","","","","","","","","0","3","0","50"
"1386","Press 'A' or 'L' to choose which option you would prefer  <i><b>right now</b></i>:
            <br></br><b>A</b> - <b>$4</b> for doing nothing <i><b>right now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>50 words <i><b>right now</b></i></b>","76","html-keyboard-response","15","360115","6s7kfv","","","","","","","","0","4","0","50"
"970","Press 'A' or 'L' to choose which option you would prefer  <i><b>right now</b></i>:
            <br></br><b>A</b> - <b>$5</b> for doing nothing <i><b>right now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>50 words <i><b>right now</b></i></b>","76","html-keyboard-response","16","361593","6s7kfv","","","","","","","","0","5","6","50"
"2602.000000000058","","","instructions","17","364697","6s7kfv","","","","","[{""page_index"":0,""viewing_time"":2602.000000000058}]","","","0","","",""
"2693","Press 'A' or 'L' to choose which option you would prefer  <i><b>right now</b></i>:
            <br></br><b>A</b> - <b>$12</b> for doing nothing <i><b>right now</b></i> 
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>75 words <i><b>right now</b></i></b>","65","html-keyboard-response","18","367392","6s7kfv","","","","","","","","0","12","0","75"
"1652.0000000000582","Press 'A' or 'L' to choose which option you would prefer  <i><b>right now</b></i>:
            <br></br><b>A</b> - <b>$6</b> for doing nothing <i><b>right now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>75 words <i><b>right now</b></i></b>","65","html-keyboard-response","19","369548","6s7kfv","","","","","","","","0","6","0","75"
"526","Press 'A' or 'L' to choose which option you would prefer  <i><b>right now</b></i>:
            <br></br><b>A</b> - <b>$3</b> for doing nothing <i><b>right now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>75 words <i><b>right now</b></i></b>","65","html-keyboard-response","20","370579","6s7kfv","","","","","","","","0","3","0","75"
"1798","Press 'A' or 'L' to choose which option you would prefer  <i><b>right now</b></i>:
            <br></br><b>A</b> - <b>$1</b> for doing nothing <i><b>right now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>75 words <i><b>right now</b></i></b>","76","html-keyboard-response","21","372882","6s7kfv","","","","","","","","0","1","0","75"
"902","Press 'A' or 'L' to choose which option you would prefer  <i><b>right now</b></i>:
            <br></br><b>A</b> - <b>$2</b> for doing nothing <i><b>right now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>75 words <i><b>right now</b></i></b>","76","html-keyboard-response","22","374288","6s7kfv","","","","","","","","0","2","3","75"
"1258.0000000000582","","","instructions","23","376048","6s7kfv","","","","","[{""page_index"":0,""viewing_time"":1258.0000000000582}]","","","0","","",""
"3288","Press 'A' or 'L' to choose which option you would prefer  <i><b>right now</b></i>:
            <br></br><b>A</b> - <b>$8</b> for doing nothing <i><b>right now</b></i> 
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>25 words <i><b>right now</b></i></b>","76","html-keyboard-response","24","379336","6s7kfv","","","","","","","","0","8","0","25"
"2398.999999999942","Press 'A' or 'L' to choose which option you would prefer  <i><b>right now</b></i>:
            <br></br><b>A</b> - <b>$14</b> for doing nothing <i><b>right now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>25 words <i><b>right now</b></i></b>","76","html-keyboard-response","25","382240","6s7kfv","","","","","","","","0","14","0","25"
"707","Press 'A' or 'L' to choose which option you would prefer  <i><b>right now</b></i>:
            <br></br><b>A</b> - <b>$17</b> for doing nothing <i><b>right now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>25 words <i><b>right now</b></i></b>","76","html-keyboard-response","26","383450","6s7kfv","","","","","","","","0","17","0","25"
"741","Press 'A' or 'L' to choose which option you would prefer  <i><b>right now</b></i>:
            <br></br><b>A</b> - <b>$19</b> for doing nothing <i><b>right now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>25 words <i><b>right now</b></i></b>","65","html-keyboard-response","27","384696","6s7kfv","","","","","","","","0","19","0","25"
"978","Press 'A' or 'L' to choose which option you would prefer  <i><b>right now</b></i>:
            <br></br><b>A</b> - <b>$18</b> for doing nothing <i><b>right now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>25 words <i><b>right now</b></i></b>","76","html-keyboard-response","28","386179","6s7kfv","","","","","","","","0","18","19","25"
"1203","","","instructions","29","387884","6s7kfv","","","","","[{""page_index"":0,""viewing_time"":1203}]","","","0","","",""
"5066","Press 'A' or 'L' to choose which option you would prefer  <i><b>right now</b></i>:
            <br></br><b>A</b> - <b>$9</b> for doing nothing <i><b>right now</b></i> 
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>100 words <i><b>right now</b></i></b>","65","html-keyboard-response","30","392952","6s7kfv","","","","","","","","0","9","0","100"
"495","Press 'A' or 'L' to choose which option you would prefer  <i><b>right now</b></i>:
            <br></br><b>A</b> - <b>$4</b> for doing nothing <i><b>right now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>100 words <i><b>right now</b></i></b>","65","html-keyboard-response","31","393952","6s7kfv","","","","","","","","0","4","0","100"
"1055","Press 'A' or 'L' to choose which option you would prefer  <i><b>right now</b></i>:
            <br></br><b>A</b> - <b>$2</b> for doing nothing <i><b>right now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>100 words <i><b>right now</b></i></b>","65","html-keyboard-response","32","395512","6s7kfv","","","","","","","","0","2","0","100"
"435","Press 'A' or 'L' to choose which option you would prefer  <i><b>right now</b></i>:
            <br></br><b>A</b> - <b>$1</b> for doing nothing <i><b>right now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>100 words <i><b>right now</b></i></b>","65","html-keyboard-response","33","396450","6s7kfv","","","","","","","","0","1","1","100"
"1187","","","instructions","34","398139","6s7kfv","","","","","[{""page_index"":0,""viewing_time"":1187}]","","","0","","",""
"1755","","","instructions","35","399895","6s7kfv","","","","","[{""page_index"":0,""viewing_time"":1755}]","","","","","",""
"3214","Press 'A' or 'L' to choose which option you would prefer  <i><b>one day from now</b></i>:
            <br></br><b>A</b> - <b>$10</b> for doing nothing <i><b>one day from now</b></i> 
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>50 words <i><b>one day from now</b></i></b>","76","html-keyboard-response","36","403110","6s7kfv","","","","","","","","1","10","0","50"
"2213","Press 'A' or 'L' to choose which option you would prefer  <i><b>one day from now</b></i>:
            <br></br><b>A</b> - <b>$15</b> for doing nothing <i><b>one day from now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>50 words <i><b>one day from now</b></i></b>","65","html-keyboard-response","37","405825","6s7kfv","","","","","","","","1","15","0","50"
"466","Press 'A' or 'L' to choose which option you would prefer  <i><b>one day from now</b></i>:
            <br></br><b>A</b> - <b>$12</b> for doing nothing <i><b>one day from now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>50 words <i><b>one day from now</b></i></b>","76","html-keyboard-response","38","406795","6s7kfv","","","","","","","","1","12","0","50"
"558","Press 'A' or 'L' to choose which option you would prefer  <i><b>one day from now</b></i>:
            <br></br><b>A</b> - <b>$13</b> for doing nothing <i><b>one day from now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>50 words <i><b>one day from now</b></i></b>","65","html-keyboard-response","39","407856","6s7kfv","","","","","","","","1","13","13","50"
"1712","","","instructions","40","410069","6s7kfv","","","","","[{""page_index"":0,""viewing_time"":1711}]","","","1","","",""
"3065","Press 'A' or 'L' to choose which option you would prefer  <i><b>one day from now</b></i>:
            <br></br><b>A</b> - <b>$9</b> for doing nothing <i><b>one day from now</b></i> 
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>75 words <i><b>one day from now</b></i></b>","65","html-keyboard-response","41","413139","6s7kfv","","","","","","","","1","9","0","75"
"305","Press 'A' or 'L' to choose which option you would prefer  <i><b>one day from now</b></i>:
            <br></br><b>A</b> - <b>$4</b> for doing nothing <i><b>one day from now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>75 words <i><b>one day from now</b></i></b>","76","html-keyboard-response","42","413947","6s7kfv","","","","","","","","1","4","0","75"
"375","Press 'A' or 'L' to choose which option you would prefer  <i><b>one day from now</b></i>:
            <br></br><b>A</b> - <b>$6</b> for doing nothing <i><b>one day from now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>75 words <i><b>one day from now</b></i></b>","65","html-keyboard-response","43","414827","6s7kfv","","","","","","","","1","6","0","75"
"485","Press 'A' or 'L' to choose which option you would prefer  <i><b>one day from now</b></i>:
            <br></br><b>A</b> - <b>$5</b> for doing nothing <i><b>one day from now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>75 words <i><b>one day from now</b></i></b>","65","html-keyboard-response","44","415817","6s7kfv","","","","","","","","1","5","5","75"
"949","","","instructions","45","417268","6s7kfv","","","","","[{""page_index"":0,""viewing_time"":948.0000000000582}]","","","1","","",""
"2401","Press 'A' or 'L' to choose which option you would prefer  <i><b>one day from now</b></i>:
            <br></br><b>A</b> - <b>$9</b> for doing nothing <i><b>one day from now</b></i> 
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>25 words <i><b>one day from now</b></i></b>","76","html-keyboard-response","46","419670","6s7kfv","","","","","","","","1","9","0","25"
"211","Press 'A' or 'L' to choose which option you would prefer  <i><b>one day from now</b></i>:
            <br></br><b>A</b> - <b>$15</b> for doing nothing <i><b>one day from now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>25 words <i><b>one day from now</b></i></b>","76","html-keyboard-response","47","420384","6s7kfv","","","","","","","","1","15","0","25"
"362","Press 'A' or 'L' to choose which option you would prefer  <i><b>one day from now</b></i>:
            <br></br><b>A</b> - <b>$18</b> for doing nothing <i><b>one day from now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>25 words <i><b>one day from now</b></i></b>","76","html-keyboard-response","48","421250","6s7kfv","","","","","","","","1","18","0","25"
"529.9999999999418","Press 'A' or 'L' to choose which option you would prefer  <i><b>one day from now</b></i>:
            <br></br><b>A</b> - <b>$19</b> for doing nothing <i><b>one day from now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>25 words <i><b>one day from now</b></i></b>","76","html-keyboard-response","49","422285","6s7kfv","","","","","","","","1","19","0","25"
"4882","Press 'A' or 'L' to choose which option you would prefer  <i><b>one day from now</b></i>:
            <br></br><b>A</b> - <b>$20</b> for doing nothing <i><b>one day from now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>25 words <i><b>one day from now</b></i></b>","65","html-keyboard-response","50","427671","6s7kfv","","","","","","","","1","20","20","25"
"903","","","instructions","51","429075","6s7kfv","","","","","[{""page_index"":0,""viewing_time"":903}]","","","1","","",""
"2203.000000000058","Press 'A' or 'L' to choose which option you would prefer  <i><b>one day from now</b></i>:
            <br></br><b>A</b> - <b>$12</b> for doing nothing <i><b>one day from now</b></i> 
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>100 words <i><b>one day from now</b></i></b>","65","html-keyboard-response","52","431279","6s7kfv","","","","","","","","1","12","0","100"
"203","Press 'A' or 'L' to choose which option you would prefer  <i><b>one day from now</b></i>:
            <br></br><b>A</b> - <b>$6</b> for doing nothing <i><b>one day from now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>100 words <i><b>one day from now</b></i></b>","65","html-keyboard-response","53","431986","6s7kfv","","","","","","","","1","6","0","100"
"198","Press 'A' or 'L' to choose which option you would prefer  <i><b>one day from now</b></i>:
            <br></br><b>A</b> - <b>$3</b> for doing nothing <i><b>one day from now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>100 words <i><b>one day from now</b></i></b>","65","html-keyboard-response","54","432688","6s7kfv","","","","","","","","1","3","0","100"
"116","Press 'A' or 'L' to choose which option you would prefer  <i><b>one day from now</b></i>:
            <br></br><b>A</b> - <b>$1</b> for doing nothing <i><b>one day from now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>100 words <i><b>one day from now</b></i></b>","65","html-keyboard-response","55","433307","6s7kfv","","","","","","","","1","1","1","100"
"958.0000000000582","","","instructions","56","434766","6s7kfv","","","","","[{""page_index"":0,""viewing_time"":957}]","","","1","","",""
"3394","","","instructions","57","438162","6s7kfv","","","","","[{""page_index"":0,""viewing_time"":3393}]","","","","","",""
"3987","Press 'A' or 'L' to choose which option you would prefer  <i><b>one month from now</b></i>:
            <br></br><b>A</b> - <b>$11</b> for doing nothing <i><b>one month from now</b></i> 
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>50 words <i><b>one month from now</b></i></b>","76","html-keyboard-response","58","442150","6s7kfv","","","","","","","","2","11","0","50"
"800","Press 'A' or 'L' to choose which option you would prefer  <i><b>one month from now</b></i>:
            <br></br><b>A</b> - <b>$16</b> for doing nothing <i><b>one month from now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>50 words <i><b>one month from now</b></i></b>","76","html-keyboard-response","59","443453","6s7kfv","","","","","","","","2","16","0","50"
"499","Press 'A' or 'L' to choose which option you would prefer  <i><b>one month from now</b></i>:
            <br></br><b>A</b> - <b>$18</b> for doing nothing <i><b>one month from now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>50 words <i><b>one month from now</b></i></b>","76","html-keyboard-response","60","444455","6s7kfv","","","","","","","","2","18","0","50"
"765","Press 'A' or 'L' to choose which option you would prefer  <i><b>one month from now</b></i>:
            <br></br><b>A</b> - <b>$19</b> for doing nothing <i><b>one month from now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>50 words <i><b>one month from now</b></i></b>","65","html-keyboard-response","61","445722","6s7kfv","","","","","","","","2","19","19","50"
"1076.0000000000582","","","instructions","62","447302","6s7kfv","","","","","[{""page_index"":0,""viewing_time"":1075}]","","","2","","",""
"3274","Press 'A' or 'L' to choose which option you would prefer  <i><b>one month from now</b></i>:
            <br></br><b>A</b> - <b>$7</b> for doing nothing <i><b>one month from now</b></i> 
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>75 words <i><b>one month from now</b></i></b>","76","html-keyboard-response","63","450577","6s7kfv","","","","","","","","2","7","0","75"
"383.0000000000582","Press 'A' or 'L' to choose which option you would prefer  <i><b>one month from now</b></i>:
            <br></br><b>A</b> - <b>$14</b> for doing nothing <i><b>one month from now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>75 words <i><b>one month from now</b></i></b>","76","html-keyboard-response","64","451463","6s7kfv","","","","","","","","2","14","0","75"
"118","Press 'A' or 'L' to choose which option you would prefer  <i><b>one month from now</b></i>:
            <br></br><b>A</b> - <b>$17</b> for doing nothing <i><b>one month from now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>75 words <i><b>one month from now</b></i></b>","65","html-keyboard-response","65","452086","6s7kfv","","","","","","","","2","17","0","75"
"461.0000000000582","Press 'A' or 'L' to choose which option you would prefer  <i><b>one month from now</b></i>:
            <br></br><b>A</b> - <b>$15</b> for doing nothing <i><b>one month from now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>75 words <i><b>one month from now</b></i></b>","65","html-keyboard-response","66","453053","6s7kfv","","","","","","","","2","15","15","75"
"908","","","instructions","67","454462","6s7kfv","","","","","[{""page_index"":0,""viewing_time"":908}]","","","2","","",""
"1142","Press 'A' or 'L' to choose which option you would prefer  <i><b>one month from now</b></i>:
            <br></br><b>A</b> - <b>$11</b> for doing nothing <i><b>one month from now</b></i> 
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>25 words <i><b>one month from now</b></i></b>","76","html-keyboard-response","68","455605","6s7kfv","","","","","","","","2","11","0","25"
"158.0000000000582","Press 'A' or 'L' to choose which option you would prefer  <i><b>one month from now</b></i>:
            <br></br><b>A</b> - <b>$16</b> for doing nothing <i><b>one month from now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>25 words <i><b>one month from now</b></i></b>","65","html-keyboard-response","69","456266","6s7kfv","","","","","","","","2","16","0","25"
"597.0000000000582","Press 'A' or 'L' to choose which option you would prefer  <i><b>one month from now</b></i>:
            <br></br><b>A</b> - <b>$13</b> for doing nothing <i><b>one month from now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>25 words <i><b>one month from now</b></i></b>","65","html-keyboard-response","70","457367","6s7kfv","","","","","","","","2","13","0","25"
"483","Press 'A' or 'L' to choose which option you would prefer  <i><b>one month from now</b></i>:
            <br></br><b>A</b> - <b>$12</b> for doing nothing <i><b>one month from now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>25 words <i><b>one month from now</b></i></b>","65","html-keyboard-response","71","458354","6s7kfv","","","","","","","","2","12","12","25"
"1640","","","instructions","72","460498","6s7kfv","","","","","[{""page_index"":0,""viewing_time"":1640}]","","","2","","",""
"1755","Press 'A' or 'L' to choose which option you would prefer  <i><b>one month from now</b></i>:
            <br></br><b>A</b> - <b>$11</b> for doing nothing <i><b>one month from now</b></i> 
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>100 words <i><b>one month from now</b></i></b>","65","html-keyboard-response","73","462254","6s7kfv","","","","","","","","2","11","0","100"
"292","Press 'A' or 'L' to choose which option you would prefer  <i><b>one month from now</b></i>:
            <br></br><b>A</b> - <b>$5</b> for doing nothing <i><b>one month from now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>100 words <i><b>one month from now</b></i></b>","65","html-keyboard-response","74","463049","6s7kfv","","","","","","","","2","5","0","100"
"212.9999999999418","Press 'A' or 'L' to choose which option you would prefer  <i><b>one month from now</b></i>:
            <br></br><b>A</b> - <b>$2</b> for doing nothing <i><b>one month from now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>100 words <i><b>one month from now</b></i></b>","65","html-keyboard-response","75","463765","6s7kfv","","","","","","","","2","2","0","100"
"567","Press 'A' or 'L' to choose which option you would prefer  <i><b>one month from now</b></i>:
            <br></br><b>A</b> - <b>$1</b> for doing nothing <i><b>one month from now</b></i>
            <br><br>OR<br><br>
            <b>L</b> - <b> $20</b> for typing <b>100 words <i><b>one month from now</b></i></b>","65","html-keyboard-response","76","464836","6s7kfv","","","","","","","","2","1","1","100"
"862","","","instructions","77","466201","6s7kfv","","","","","[{""page_index"":0,""viewing_time"":861.0000000000582}]","","","2","","",""
"4267","<p style=""text-align:center;""><b>THE UNIVERSITY OF NEW SOUTH WALES<br>FINAL CONSENT STATEMENT</b><br></p><p style=""text-align:left;line-height:190%;margin:16px 80px;"">Thank you for participating in this study! <br><br> The investigators of this study request permission to access your class grades for the PSYC 1A and/or 1B.This will be used to examine relationships between self-reported procrastination, effort related decisions in the lab task, date of experiment participation, and grades. Only the academic staff member of this project will have access to information linking your student ID with your grades. <br><br>Once your grades have been collected and matched with data from this current study, your student ID numbers will be removed from the data and replaced with non-identifiable, unique participant identifier numbers. <br><br><b><i>I agree to have the researchers of this experiment collect my class grades for the PSYC 1A and/or 1B course. <br><br>I understand that I am allowed to withhold permission and that withholding my permission will not affect my relationship with UNSW in any way. <br><br>I grant permission for the researchers to access my PSYC 1A and/or 1B class grades.</i></b></p>","","html-button-response","78","470470","6s7kfv","","0","","","","","","","","",""
