Progress,Duration__in_seconds_,UserLanguage,Age,Gender,Countryborn,Stateborn,Countrycurrent,Statecurrent,Yearscurrent,Ethnicity,Race,OtherText,SexOrient,Childbiodad,Childbiomom,Childstepdad,Childstepmom,Childadoptdad,Childadoptmom,Childaunt,Childuncle,Childgrandfather,Childgrandmother,Childfosterdad,Childfostermom,Currentbiodad,Currentbiomom,Currentstepdad,Currentstepmom,Currentadoptdad,Currentadoptmom,Currentaunt,Currentuncle,Currentgrandfather,Currentgrandmother,Currentfosterdad,Currentfostermom,Primarychild,Primarynow,Samesex,Parentdecease,Parentdeceasetext,Siblings,Primmomnow,Primdadnow,Hoursmom,Hoursdad,SubSES,FatherEd,FatherEdText,MotherEd,MotherEdText,Religionnow,ReligChristother,ReligOther,OtherMaternal,OtherMaternalText,DyadM1,DyadM2,DyadM3,DyadM4,DyadM5,DyadM6,DyadM7,DyadM8,DyadM9,DyadM10,DyadM11,DyadM12,DyadM13,DyadM14,DyadM15,DyadM16,DyadM17,DyadM18,DyadM19,DyadM20,DyadM21,DyadM22,DyadM23,DyadM24,DyadM25,NRIM1,NRIM2,NRIM3,NRIM4,NRIM5,NRIM6,NRIM7,NRIM8,NRIM9,NRIM10,NRIM11,NRIM12,NRIM13,NRIM14,NRIM15,NRIM16,NRIM17,NRIM18,NRIM19,NRIM20,NRIM21,NRIM22,NRIM23,NRIM24,NRIM25,NRIM26,NRIM27,NRIM28,NRIM29,NRIM30,NRIM31,NRIM32,NRIM33,NRIM34,NRIM35,NRIM36,NRIM37,NRIM38,NRIM39,NRIM40,NRIM41,NRIM42,NRIM43,NRIM44,NRIM45,NRIM46,NRIM47,NRIM48,NRIM49,NRIM50,NRIM51,NRIM52,NRIM53,NRIM54,NRIM55,NRIM56,NRIM57,NRIM58,NRIM59,NRIM60,NRIM61,NRIM62,NRIM63,NRIM64,OtherPaternal,OtherPaternalText,DyadF1,DyadF2,DyadF3,DyadF4,DyadF5,DyadF6,DyadF7,DyadF8,DyadF9,DyadF10,DyadF11,DyadF12,DyadF13,DyadF14,DyadF15,DyadF16,DyadF17,DyadF18,DyadF19,DyadF20,DyadF21,DyadF22,DyadF23,DyadF24,DyadF25,NRIF1,NRIF2,NRIF3,NRIF4,NRIF5,NRIF6,NRIF7,NRIF8,NRIF9,NRIF10,NRIF11,NRIF12,NRIF13,NRIF14,NRIF15,NRIF16,NRIF17,NRIF18,NRIF19,NRIF20,NRIF21,NRIF22,NRIF23,NRIF24,NRIF25,NRIF26,NRIF27,NRIF28,NRIF29,NRIF30,NRIF31,NRIF32,NRIF33,NRIF34,NRIF35,NRIF36,NRIF37,NRIF38,NRIF39,NRIF40,NRIF41,NRIF42,NRIF43,NRIF44,NRIF45,NRIF46,NRIF47,NRIF48,NRIF49,NRIF50,NRIF51,NRIF52,NRIF53,NRIF54,NRIF55,NRIF56,NRIF57,NRIF58,NRIF59,NRIF60,NRIF61,NRIF62,NRIF63,NRIF64,COS1,COS2,COS3,COS4,COS5,COS6,COS7,COS8,COS9,COS10,COS11,COS12,COS13,COS14,COS15,COS16,FPS1,FPS2,FPS3,FPS4,FPS5,FPS6,FPS7,FPS8,FPS9,FPS10,SBQ1,SBQ2,SBQ3,SBQ4,SBQ5,SBQ6,SBQ7,SBQ8,SBQ9,SBQ10,SBQ11,SBQ12,SBQ13,SBQ14,SBQ15,SBQ16,SBQ17,SBQ18,SBQ19,SBQ20,SBQ21,SBQ22,SBQ23,SBQ24,SBQ25,YRBS1,YRBS2,YRBS3,YRBS4,YRBS5,YRBS6,YRBS7,YRBS8,YRBS9,YRBS10,YRBS11,YRBS12,YRBS13,YRBS14,YRBS15,YRBS16,YRBS17,SDQ1,SDQ2,SDQ3,SDQ4,SDQ5,SDQ6,SDQ7,SDQ8,SDQ9,SDQ10,SDQ11,SDQ12,SDQ13,SDQ14,SDQ15,SDQ16,SDQ17,SDQ18,SDQ19,SDQ20,SDQ21,SDQ22,SDQ23,SDQ23b,SDQ24,SDQ25,FACES1,FACES2,FACES3,FACES4,FACES5,FACES6,FACES7,FACES8,FACES9,FACES10,FACES11,FACES12,FACES13,FACES14,FACES15,FACES16,FACES17,FACES18,FACES19,FACES20,FACES21,FACES22,FACES23,FACES24,FACES25,FACES26,FACES27,FACES28,FACES29,FACES30,FACES31,FACES32,FACES33,FACES34,FACES35,FACES36,FACES37,FACES38,FACES39,FACES40,FACES41,FACES42,FACES43,FACES44,FACES45,FACES46,FACES47,FACES48,FACES49,FACES50,FACES51,FACES52,FACES53,FACES54,FACES55,FACES56,FACES57,FACES58,FACES59,FACES60,FACES61,FACES62,TSCL1,TSCL2,TSCL3,TSCL4,TSCL5,TSCL6,TSCL7,TSCL8,TSCL9,TSCL10,TSCL11,TSCL12,TSCL13,TSCL14,TSCL15,TSCL16,TSCL17,TSCL18,TSCL19,TSCL20,TSCL21,TSCL22,TSCL23,TSCL24,TSCL25,TSCL26,TSCL27,TSCL28,TSCL29,TSCL30,TSCL31,TSCL32,TSCL33,TSCL34,TSCL35,TSCL36,TSCL37,TSCL38,TSCL39,TSCL40,ETI1,ETI2,ETI3,ETI4,ETI5,ETI6,ETI7,ETI8,ETI9,ETI10,ETI11,ETI12,ETI13,ETI14,ETI15,ETI16,ETI17,ETI18,ETI19,ETI20,ETI21,ETI22,ETI23,ETI24,ETI25,ETI26,ETI27,ETI28,ETI29,Qualitative,Source,PsyContM,BehContM,PhysAsM,InducReasM,PsyContF,BehContF,PhysAsF,InducReasF,NRIMCompanion,NRIMConflict,NRIMInstrument,NRIMAntag,NRIMIntimate,NRIMNurturance,NRIMAffection,NRIMReassurance,NRIMRelative,NRIMReliable,NRIFCompanion,NRIFConflict,NRIFInstrument,NRIFAntag,NRIFIntimate,NRIFNurturance,NRIFAffection,NRIFReassurance,NRIFRelative,NRIFReliable,COShindivid,COSvindivid,COShcollect,COSvcollect,CFPSprag,CFPSCompas,SSBQtotal,SUtobacc,SUalcoho,SUmarij,SUillicit,SUtotal,SDQemote,SDQconduct,SDQhyper,SDQpeerprob,SDQprosocial,FACEdisen,FACEenmesh,FACErigid,FACEchaotic,FACEcomm,FACEsatis
100,3829,EN,18,2,187,25,187,25,18,American,1, ,Straight,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,1, , ,3,1,9,2, ,3, ,2, , , , ,2,1,3,1,2,1,1,1,3,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5,5,3,3,2,3,4,4,2,2,4,4,3,3,5,5,5,5,2,3,5,5,4,4,2,2,5,5,2,2,2,3,5,5,5,5,5,5,5,4,3,3,2,2,5,5,2,2,1,2,3,3,5,5,5,5,5,5,5,5,4,4,3,4,2,1, , ,3,2,2,1,1,1,3,1,2,2,2,1,1,1,1,1,1,3,5,5,5,5,5,5,4,2,2,2,2,3,3,3,3,2,2,2,2,5,5,4,4,3,2,5,5,2,2,3,2,4,4,3,3,1,3,5,5,5,5,4,4,5,5,2,2,4,3,3,3,3,2,1,3,2,3,5,5,2,2,5,5,3,3,4,4,5,5,1,1,8,7,6,8,6,2,7,9,6,2,4,9,6,6,8,7,5,5,5,5,5,5,5,5,5,5, , , ,1,1, , ,1, , , ,1,1,4,1, ,1,1, , , , , , , ,1,1,4,1,1,4,4,1, ,1,1,1,1,1,1,2,1,3,2,2,3,2,3,2,3,2,2,3,1,2,2,3,3,3,2,1,2,3,2,2,2,3,2,4,4,3,2,3,2,4,4,1,4,3,4,5,3,2,2,3,2,4,4,3,3,4,3,3,2,2,3,4,1,4,4,2,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,5,5,2,4,3,2,3,4,3,2,2,3,3,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,MSSTATE1,11,7,5,39,13,8,5,37,10,11,14,6,7,11,13,23,5,15,6,13,10,9,4,9,12,18,5,15,26,17,25,33,30,20, ,8,8,2, , ,15,9,12,11,13,17,20,25,18,40,30
100,1706,EN,18,2,187,44,187,44,18,latino,3, ,straight,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,4,my aunt,my uncle,1,1,8,2, ,3, ,2, , , , ,4,4,5,3,4,4,4,4,4,2,3,2,2,1,1,3,2,4,4,5,4,4,3,1,4,2,3,4,1,2,2,4,1,2,4,4,4,5,5,3,3,4,2,4,4,3,3,3,3,2,2,4,1,1,4,4,4,3,3,3,3,3,2,3,3,2,2,4,4,4,2,1,4,4,4,4,4,2,3,4,4,4,4,4,4,4,4,1,1, , ,4,4,4,4,4,3,2,3,3,1,3,2,2,1,1,2,1,4,5,4,5,5,4,2,4,2,3,1,5,4,4,1,5,1,3,1,5,5,5,4,4,4,2,4,4,3,3,4,2,4,5,1,4,1,4,5,5,5,5,4,4,3,3,3,3,2,4,4,4,2,4,1,5,2,3,5,5,2,3,4,4,5,5,4,4,5,5,1,1,9,9,8,3,7,8,8,7,9,9,6,8,9,7,7,5,5,5,5,4,3,4,5,3,3,4,2, ,2,3,2,2,1,3,2, ,1,2,3,1,1,3,1,1,2,1,4,1,2,1,3,1,1,1,1,1,5,5,1, ,1,1,1,1,1,1,1,1,3,3,1,2,2,2,3,3,3,2,3,3,3,2,3,2,3,1,2,2,2,1,3,2,1,2,5,4,2,1,5,1,4,2,1,3,5,2,5,3,2,1,3,1,4,4,2,2,4,1,4,5,2,2,3,1,4,5,3,1,4,1,4,4,4,3,2,1,4,4,4,3,4,4,5,5,2,4,4,5,5,4,3,4,3,3,2,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,no,MSSTATE1,28,15,9,29,25,12,7,33,8,11,8,12,4,12,13,16,6,11,8,12,12,4,3,8,12,20,6,11,34,33,29,23,26,15, ,5,10,2, , ,12,10,12,12,13,16,13,26,8,39,37
100,4899,EN,18,1,187,34,187,25,11,caucasian,1, ,straight,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,1, , ,1,1,3,5, ,5, ,11, , , , ,1,2,2,2,2,1,3,1,1,1,1,1,1,1,1,1,1,4,4,3,3,5,2,1,2,1,5,3,4,3,5,3,5,2,5,4,5,5,5,4,5,3,5,5,5,3,5,3,5,1,5,3,5,2,5,3,5,5,5, ,5,5,5,2,5,4,5,5,5,5,5,1,5,1,5,5,5,5,5, ,5,5,5,4,5,5,5,2,2, , ,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,3,4,3,4,4,2,2,2,2,5,1,5,3,5,1,5,1,5,4,5,5,5,4,5,5,5,5,5,4,5,4,5,2,5,2,5,1,5,1,5, ,5,3,5,5,5,3,5,2,5,3,5,2,5,1,5,1,5,5,5, ,5,5,5,5,5,3,5,5,5,1,1,9,9,9,6,9,7,6,8,9,9,9,5,9,7,8,9,4,4,5,5,3,4,5,4,4,5, , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,3,2,1, ,1,1,1,1,1,1,1,1,3,1,1,3,1,2,3,2,2,1,3,1,1,2,2,3,3,1,2,3,2,1,2,1,1,2,4,4,4,2,2,5,3,2,3,4,2,1,3,5,4,2,1,4,4,4,4,3,1,2,4,4,3,1,4,1,4,4,4,1,3,4,5,3,5,3,4,4,5,2,3,2,2,3,4,2,2,3,5,4,3,3,3,4,5,5,3,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,MSSTATE1,13,5,5,24,10,5,5,24,6,15,9,11,5,8,9, ,7, ,9,12,8,5,3,6,7, ,7,15,36,32,32,28,25,18, ,5,5,2, , ,9,7,8,11,14,27,16,17,21,28,40
100,1588,EN,18,1,187,25,187,25,18,White,1, ,Heterosexual,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,0, , ,1,1,6,5, ,4, ,1, , , , ,3,2,2,2,2,1,1,2,2,1,1,2,1,1,1,1,1,4,5,5,5,5,5,5,5,2,2,2,4,2,4,2,4,2,2,3,3,5,5,5,5,3,4,5,5,3,4,2,3,4,5,1,4,2,4,4,4,5,5,5,5,5,5,3,4,2,4,5,5,2,4,2,4,1,4,5,5,5,5,5,5,5,5,5,5,5,5,1,1, , ,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,2,2,1,3,3,4,3,2,3,3,3,4,4,4,4,4,4,2,5,5,5,5,3,3,3,3,3,3,2,4,3,3,5,5,4,4,5,5,4,4,2,4,3,4,3,2,3,3,2,3,5,5,3,4,5,5,5,5,5,3,5,5,2,2,9,9,9,6,8,9,9,9,5,9,6,9,9,6,9,9,4,4,4,5,5,5,5,5,4,5,2,1,3,1,2,2,1,2,1,4,4,2,3,4,1,3,3,1,3,2,2,2,2,3,2,6,4,7,2,3,5,5,1, ,1,1,1,1,1,1,2,1,3,2,1,2,1,2,2,2,3,1,3,2,1,2,2,2,2,1,1,2,2,2,3,1, ,2,4,4,3,2,2,2,5,5,2,2,2,2,4,4,4,4,2,2,5,5,2,3,2,3,4,4,2,2,2,1,4,2,2,1,2,2,4,4,2,3,3,2,3,4,4,4,4,4,4,4,3,5,4,4,4,4,4,4,4,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,How often do you and your caregiver talk on the phone?,MSSTATE1,13,8,5,39,15,10,10,32,8,11,11,5,6,8,10,25,5,15,11,9,9,9,8,8,9,21,8,15,31,33,33,33,27,19,59,22,10,2, , , ,8,9,11,12,17,17,15,14,39,40
100,3224,EN,18,1,187,1,187,25,1,Caucasian,1, ,Heterosexual,1,1, , , , , , , , , , , , , , , , , , , , , , ,2,1,2, , ,1, , ,1,1,8,2, ,3, ,1, , , , ,2,2,1,1,2,2,3,2,2,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,3,3,2,1,1,3,2,1,3,3,3,3,3,3,3,3,1,3,3,3,2,3,2,1,1,3,2,1,3,3,2,3,3,3,3,3,3,3,2,3,2,1,1,3,2,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5, , ,2,2,2,1,2,2,4,2,2,2,2,1,1,1,1,1,1,5,4,4,4,4,4,4,4,3,3,1,3,4,3,2,1,3,3,2,3,3,3,3,3,2,2,3,3,2,2,2,2,2,1,2,1,3,3,3,3,3,3,3,3,3,3,2,2,2,1,2,2,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,9,9,5,9,9,8,9,9,9,8,2,9,9,8,9,9,4,4,4,4,3,4,4,4,2,4,4,1,4,4,4,1,1,1,4,4,1, ,4,1, ,1,1,4,4,1,4,1,4,1,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,2,3,1,1,2,3,1,2,1,2,3,2,1,2,1,2,3,1,1,2,3,1,3,2,1,3,4,1,4,2,4,2,4,2,4,4,4,1,4,4,4,4,2,2,4,4,4,5,2,1,4,4,2,2,4,1,4,2,2,2,4,2,2,4,4,2,4,2,2,2,2,4,2,2,4,4,3,2,3,3,3,2,3,2,3,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,MSSTATE1,13,7,5,30,15,9,5,33,7,9,3,6,9,7,7,15,11,9,7,6,8,6,9,7,8,15,4,9,36,33,25,36,23,14, ,5,2,2, , ,9,7,12,12,9,24,21,24,11,27,25
100,2699,EN,18,1,187,1,187,25,0, ,3, ,Bisexual,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,3, , ,2,1,7,1, ,1, ,8, , , , ,2,1,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,4,4,3,5,4,3,2,4,2,2,1,4,2,3,1,3,2,2,3,2,4,4,4,5,2,3,3,3,2,2,1,4,3,3,2,3,2,3,2,2,4,3,4,4,4,4,3,4,1,5,2,4,2,3,1,4,2,2,4,4,3,2,4,4,4,3,2,2,3,4,2,3, , ,2,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,5,4,4,4,4,3,4,1,2,2,1,2,3,1,3,1,1,1,4,4,4,3,3,4,3,4,3,3,2,2,1,2,3,2,2,1,2,1,3,4,4,3,4,4,4,3,4,2,1,3,4,2,1,1,3,1,4,4,3,3,2,4,4,4,4,3,3,4,3,2,2,6,6,7,3,8,7,8,5,6,3,7,3,9,6,6,8,4,3,4,4,3,3,2,3,1,4, , , , , , ,1,1, , , , , , , , , , , , , , ,2, , ,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,3,1,2,1,1,3,1,2,3,2,2,3,3,1,1,3,3,2,3,2,1,3,2,1,1,1,2,2,4,4,4,3,2,5,4,2,3,2,2,4,4,3,2,3,1,4,4,4,2,1,1,4,4,2,3,2,4,4,4,1,2,4,2,4,3,4,2,2,2,5,3,2,4,4,2,5,4,4,2,4,3,2,2,4,3,2,3,2,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Not applicable is an answer to many of the sexual intercourse-related questions, because I am not sexually active.",MSSTATE1,10,7,5,29,12,5,5,31,7,6,7,5,5,7,8,18,7,11,7,9,7,5,3,3,6,17,8,12,29,22,28,19,21,10, ,5,2,2, , ,9,8,11,10,13,18,17,14,30,34,26
100,2277,EN,18,2,187,19,187,19,18,french,1, ,straight,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,3, , ,1,1,4,4, ,5, ,2, , , , ,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,5,5,4,4,5,4,5,2,3,4,4,2,3,4,2,4,3,5,5,4,5,4,4,5,5,4,5,2,3,5,5,3,3,4,4,5,5,5,5,4,4,5,5,5,5,3,3,5,5,2,4,4,4,5,4,5,5,4,3,5,5,5,5,5,5,5,5,2,1, , ,2,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,5,2,2,3,1,5,3,3,2,2,2,3,3,5,5,4,5,4,3,5,5,4,5,4,3,4,4,4,3,2,3,4,5,5,5,5,5,5,5,4,3,3,3,4,4,5,5,2,4,1,5,5,5,4,5,5,5,5,5,3,3,4,2,1,2,7,6,6,2,3,6,7,4,6,6,5,9,9,7,7,6,5,5,5,5,3,5,4,5,4,4, , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,2,1,1, ,1,1,1,1,1,1,1,1,3,2,1,2,1,2,2,3,1,2,3,1,1,2,3,3,2,1,2,2,2,1,3,1,2,3,5,2,2,4,5,1,5,5,1,1,4,2,5,4,2,1,2,1,5,4,1,2,3,1,4,2,1,2,3,1,5,5,2,1,4,1,5,4,3,1,1,1,4,2,4,4,4,4,4,4,5,5,5, ,3,5,3,4,4,3,2,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,MSSTATE1,9,5,5,35,11,5,5,33,13,12,14,7,12,14,15,22,7,15,10,14,13,12,6,8,10,22,7,15,25,25,25,21,28,17, ,5,3,2, , ,11,6,12,12,10,12,12,22,8,40, 
100,2602,EN,18,2,187,44,187,25,4,black,2, ,heterosexual,1,1, , , , , , , , , , , ,1, , , , , , , , , , ,2,2,2, , ,1, , ,1,1,5,6,technical school,5, ,11, , , , ,1,2,3,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,5,3,5,5,5,2,4,3,4,1,3,4,3,3,3,3,3,2,2,4,4,4,3,3,3,5,5,3,3,2,2,4,4,4,3,3,3,3,3,5,5,4,4,5,5,3,3,1,1,4,4,2,2,4,4,1,5,3,3,2,3,3,3,3,3,3,3,3,3, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,5,3,4,4,4,4,4,3, , ,2,1,1, ,1,2, ,2, ,2,2,1,2, ,1,2,2, ,3,2, ,1,1,1,1,1,1,2,1,2, ,1,1,1,1,1,1,1,1,2,3,3,3,2,2,1,3,3,3,3,1,3,3,3,3,2,1,1,2,2,1,2,2,3,1,2,2,4,2,2,2,2,4,2,2,2,2,2,3,3,2,3,2,2,2,3,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,MSSTATE1,11,6,5,31,7,5,5,38,9,8,12,9,10,6,8,16, ,13, , , , , , , , , , ,30,26,27,28,21,16, ,5,3,3, , ,17,6,12,11,12,18,14,16,16,20,10
100,4172,EN,18,2,187,44,187,25,18, ,2, ,Heterosexual, ,1, , , , , , , , , , , ,1, , , , , , ,1,1, , ,2,2,2, , ,0,Grandmother,Grandfather,3,1,2,5, ,2, ,1, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1, , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,5,5,5,5,5,5,5,5,5,4,1,4,4,4,4,1,1,4,1,4,4,4,1,4,1,1,4,4,4,4,1,4,1,1,1,1,2,1,1,1,1,1, ,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,3,1,1,3,3,2,2,3,3,3,5,5,2,1,4,2,5,5,2,4,5,1,5,5,5,1,5,1,5,5,2,2,2,1,2,5,1,1,5,1,5,5,2,1,5,1,3,5,2,5,5,4,5,4,4,5,4,4,2,4,2,4,5,5,5,5,5,5,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,No,MSSTATE1,7,5,5,8,7,5,5,40,9,12,9,9,9,9,9,15,5,9,9,12,9,9,9,9,9,15,5,9,36,36,36,36,30,20,97,6,2,2, , ,17,10,14,12,13,16,15,31,11,38,50
100,1117,EN,19,1,187,25,187,25,19,white,1, ,straight,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,2, , ,1,1,8,2, ,2, ,1,ch, , , ,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,5,4,5,3,4,1,4,4,4,1,5,3,4,3,4,5,5,5,5,3,5,5,5,5,5,1,5,5,5,1,5,3,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,3,5,2,5,5,5,4,5,5,5,4,5,5,5,5,5,1,2, , ,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,3,4,4,4,4,4,4,4,3,5,2,5,4,5,1,5,3,5,1,5,5,5,4,5,3,5,5,5,4,5,1,5,4,5,1,5,3,5,3,5,5,5,5,5,5,5,4,5,2,5,5,5,2,5,3,5,3,5,5,5,4,5,5,5,4,5,5,5,5,5,2,2,8,8,5,8,7,7,7,7,4,6,8,9,8,7,7,7,5,5,5,5,5,5,5,5,5,5, , , , , , , , , , , , , ,4, ,1, , , , , , , , , ,2,2,2,2,1,4,4,1, ,1,1,1,1,1,1,1,1,3,3,1,3,2,1,2,2,3,2,3,1,1,3,2,2,3,1,1,3,3,1,1,1,1,3,4,4,2,2,4,2,4,4,1,3,3,1,5,4,2,2,2,2,5,5,1,2,4,1,4,3,1,1,2,1,3,3,2,2,4,1,3,4,2,4,2,1,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,no,MSSTATE1,15,10,10,32,13,10,6,31,13,8,14,3,9,10,12,23,6,15,11,10,13,4,9,7,11,22,7,15,27,28,27,31,30,20, ,9,8,2, , ,8,7,13,9,15,11,16,21,9,47,50
100,1275,EN,19,2,187,1,187,1,19,white,1, ,female,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,3, , ,3,3,4,3, ,3, ,1, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,7,5,7,2,8,7,9,1,8,9,6,2,8,8,5,5,5,5,5,5,5,5,4,5, , , , , , , , , , , , , , , , ,1, , , , , , , , ,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,3,2,2,3,1,2,3,3,3,2,3,1,1,3,2,3,3,1,1,3,2,1,2,1,2,2,5,3,2,1,2,2,4,5,1,1,3,1,5,4,1,1,2,1,5,5,2,2,3,2,4,3,1,1,2,1,4,3,2,1,4,3,4,4,4,2,1,1,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,MSSTATE1,7,5,5,39,7,5,5,40, , , , , , , , , , , , , , , , , , , , ,26,9,31,29,30,19, ,5,2,2, , ,12,7,10,11,15,13,9,17,11,48,50
