Progress,Duration__in_seconds_,UserLanguage,Age,Gender,Countryborn,Stateborn,Countrycurrent,Statecurrent,Yearscurrent,Ethnicity,Race,OtherText,SexOrient,Childbiodad,Childbiomom,Childstepdad,Childstepmom,Childadoptdad,Childadoptmom,Childaunt,Childuncle,Childgrandfather,Childgrandmother,Childfosterdad,Childfostermom,Currentbiodad,Currentbiomom,Currentstepdad,Currentstepmom,Currentadoptdad,Currentadoptmom,Currentaunt,Currentuncle,Currentgrandfather,Currentgrandmother,Currentfosterdad,Currentfostermom,Primarychild,Primarynow,Samesex,Parentdecease,Parentdeceasetext,Siblings,Primmomnow,Primdadnow,Hoursmom,Hoursdad,SubSES,FatherEd,FatherEdText,MotherEd,MotherEdText,Religionnow,ReligChristother,ReligOther,OtherMaternal,OtherMaternalText,DyadF1,DyadF2,DyadF3,DyadF4,DyadF5,DyadF6,DyadF7,DyadF8,DyadF9,DyadF10,DyadF11,DyadF12,DyadF13,DyadF14,DyadF15,DyadF16,DyadF17,DyadF18,DyadF19,DyadF20,DyadF21,DyadF22,DyadF23,DyadF24,DyadF25,SDQ1,SDQ2,SDQ3,SDQ4,SDQ5,SDQ6,SDQ7,SDQ8,SDQ9,SDQ10,SDQ11,SDQ12,SDQ13,SDQ14,SDQ15,SDQ16,SDQ17,SDQ18,SDQ19,SDQ20,SDQ21,SDQ22,SDQ23,SDQ23b,SDQ24,SDQ25
84,3061,EN,18,1,187,44,187,44,18,white,1, ,straight,1,1, , , , , , , , , , , ,1,1, , , , , , , , , ,2,2,2,1,dad,1,my mom,step dad,2,1,7,3, ,3, ,1, , , , ,1,1,1,1,1,1,1,2,4,4,1,2,1,1,1,1,1,1,2,3,2,2,2,2,2,3,1,1,2,1,2,3,1,3,2,3,1,1,3,2,2,3,1,1,2,2,1,2,1,1,2
84,5692,EN,18,1,187,44,187,25,13,South Korean,4, ,Straight,1,1, , , , , , , , , , , ,1, , , , , , , , , , ,2,2,2,2, ,3, , ,1,1,6,5, ,5, ,1,Baptist, , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,3,2,3,3,3,3,3,3,2,2,3,2,2,3,1,1,2,2,1,2,2,2,2
84,497,EN,21,1,187,25,187,25,21,3,2, ,hetero, ,1, , , , , , , , , , , ,1, , , , , , , , , , ,2,2,2,2, ,4, , ,2,3,5,3, ,3, ,11, , , , ,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,1,2,3,3,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,2,2
84,20055,EN,18,1,187,25,187,19,10, ,1, ,heterosexual,1, , , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2,2, ,3, , ,2,2,3,2, ,3, ,11, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,3,4,4,2,4,2,1,2,3,1,2,2,2,1,1,2,1,3,2,1,2,2,1,1,2,1,1,2,1,1,1
84,2464,EN,20,1,187,25,187,25,20,White,1, ,Male,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,1,2,2, ,1,NA,NA,1,1,7,3, ,3, ,1,Methodist, , , ,1,1,2,2,2,1,3,2,2,1,2,2,1,1,1,1,1,4,4,4,4,4,4,4,4,3,2,1,2,2,1,2,2,3,2,3,2,1,2,1,1,3,1,2,3,2,1,2,1,1,3
84,106721,EN,18,1,187,11,187,11,18,caucasion,1, ,straight,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2,2, ,1, , ,1,1,7,2, ,2, ,2, , , , ,2,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,2,1,1,2,1,2,2,1,3,2,3,1,1,2,2,2,3,1,1,3,3,1,2,1,1,2
84,115,EN, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
84,1786,EN,18,1,111, ,187,1,12,Hispanic, , ,Straight,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2,2, ,2, , ,2,1,8,4, ,4, ,1,Baptist/catholic, , , ,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,3,2,1,3,2,1,3,2,3,3,3,2,2,3,1,2,3,1,1,3,3,1,3,1,2,3
84,1875,EN,19,1,187,25,187,25,19,African American,2, ,Women,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2,2, ,4,Biological Mother,Biological Father,1,1,6,5, ,5, ,1, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4,4,4,2,1,1,2,1,3,1,1,2,2,3,1,1,3,3,2,3,2,1,2,2,2,2,2,2,2
84,214976,EN, ,1,187,25,187,27,18,white,1, ,straight,1,1, , , , , , , , , , , ,1, , , , , , , , , , ,2,2,2,2, , , ,my brother,1,1,4,2, ,3, ,1, , , , ,1,2,1,2,2,1,2,2,2,1,2,2,2,2,1,2,1,1,1,2,1,1,2,2,2,3,3,3,3,2,2,1, ,2,3,3,3,2,2,3,3,1,3,3,3,1,3,3,1,3,3
84,1437,EN,18,1,187,44,187,25,18,White,1, ,Women,1,1,1, , , , , ,1,1, , , ,1,1, , , , , , , , , ,2,2,2,2, ,3, ,Step-father,1,2,7,4, ,2, ,1,Methodist, , , ,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4,4,4,3,1,1,3,1,2,2,2,3,1,3,1,1,3,2,2,3,1,1,3,3,1,2,2,1,2
84,1790,EN,18,1,187,25,187,25,1 year,caucasion,1, ,Female, ,1,1, , , , , , , , , , ,1, , , , , , , , , , ,2,2,2,2, ,5, , ,1,1,7,5, ,3, ,1,Church of God, ,1, ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
84,16722,EN,18,1,187,25,187,25,18,Bengali,4, ,straight,1,1, , , , , , , , , , ,1, , , , , , , , , , , ,2,1,2,1,Mother,1, , ,1,1,6,1, ,1, ,8, , , , ,5,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2,3,3,3,3,3,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3
84,2197,EN,18,1,187,25,187,25,18,American,1, ,Heterosexual,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2,2, ,1, , ,2,1,6,3, ,4, ,1,Southern Baptist, , , ,2,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,4,4,4,2,4,3,1,1,3,2,3,3,2,3,1,3,1,2,3,1,3,3,1,2,3,2,1,2,1,1,2
84,331045,EN,18,1,187,44,187,44,18,White,1, , ,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2,2, ,3, , ,1,1,7,4, ,3, ,1, , , , ,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,4,3,3,3,3,3,3,3,3,1,1,2,1,1,2,1,3,1,3,1,1,3,1,1,3,1,1,3,3,1,1,1,1,3
84,4113,EN,18,1,187,25,187,25,18,Irish,1, ,Homosexual, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,3,3,3,5,5,4,4,2,1,1,2,1,2,2,2,3,1,3,1,1,2,1,1,2,1,1,2,3,1,2,1,1,3
86,32,EN, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
86,1379,EN,18,2,187,25,187,25,18,White,1, ,Heterosexual,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,1, , ,2,1,6,5, ,3, ,1, , , , ,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,4,5,5,4,5,4,2,5,2,3,2,3,2,1,1,3,3,3,3,3,1,3,3,2,3,1,1,3,2,1,1,1,1,2
86,777,EN,18,2,187,25,187,25,18,African American,2, ,Bisexual,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,1,Biological mother,biological father,3,3, ,5, ,3, ,11, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
86,1797,EN,18,2,187,25,187,25,18,African American,2, , , ,1,1, , , , , , , , , , ,1, , , , , , , , , , ,2,2,2, , ,1-3, , ,1,1,5,4, ,5, ,1,nondenominational, , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,3,5,5,2,5,3,1,1,3,1,3,1,1,3,1,3,1,2,3,1,3,3,1,1,3,3,1,1,1,1,2
86,78,EN, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
86,181406,EN,18,2,187,25,187,25,18,"white, English, church of christ",1, ,heterosexual,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,1,2, , ,1, , ,2,1,8,5, ,3, ,13, ,church of christ, , ,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,5,4,5,3,5,5,4,5,2,3,1,2,2,1,2,3,3,2,3,2,1,3,3,3,3,1,1,2,2,1,1,1,1,2
87,1124,EN,18,2,187,44,187,44,18,caucasian,1, ,straight,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2, ,2, , ,1, , ,1,1,8,1, ,3, ,3, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,5,5,5,5,5,5,2,1,2,1,1,2,2,2,1,1,3,1,1,2,2,2,2,1,1,2,3,1,1,1,1,3
87,3386,EN,19,2,187,25,187,25,19,white,1, ,straight,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,3, , ,1,1,7,5, ,3, ,11, , , , ,3,3,3,2,2,1,2,1,3,1,1,1,1,1,1,1,1,1,3,2,2,2,2,1,2,3,2,3,1,2,2,2,3,3,2,3,2,1,2,2,3,2,1,1,3,2,2,2,2,3,2
87,23161,EN,18,1,187,44,187,25,18,Caucasian,1, ,heterosexual,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,1, , ,2,1,7,5, ,5, ,1,Southern Baptist, , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,4,4,5,4,4,3,2,1,2,1,1,2,2,3,1,3,1,1,3,1,2,3,1,1,2,3,1,1,1,1,3
87,673,EN,19,1,187,25,187,25,19,white,1, ,male,1,1, , , , , , , , , , ,1, , ,1, , , , , , , , ,1,1,2, , ,2, , ,1,1,5,3, ,3, ,13, , , , ,1,2,3,4,5,4,3,2,1,2,3,4,5,4,3,2,1,2,3,4,5,4,3,2,1,1,2,3,2,1,2,3,2,1,2,3,2,1,2,3,2,1,2,3,2,1,2,3,2,1,2
87,1311,EN,18,2,187,44,187,44,18,"Czech, Native American",1, ,Heterosexual,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,3, , ,1,1,9,3, ,3, ,1, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,3,2,1,3,1,1,2,2,3,1,3,1,1,3,2,1,3,1,1,3,3,1,2,1,2,2
87,709,EN,18,1,187,25,187,25,18,american,1, ,straight,1,1, , , , , , , , , , ,1, , , , , , , , , , , ,2,1,2, , ,3,my mother,my father,1,1,7,3, ,4, ,1, , , , ,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
87,168175,EN,18,2,187,25,187,25,15,European,1, ,Heterosexual,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,2, , ,1,1,6,3, ,5, ,8, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,4,5,5,4,5,3,1,1,2,1,2,3,3,2,2,3,2,1,3,1,2,3,1,1,2,3,1,2,1,1,3
87,1720,EN,18,1,187,4,187,25,17,White,1, ,heterosexual,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,2, , ,1,1,7,3, ,2, ,3, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,3,2,2,1,2,2,2,3,2,2,3,1,2,2,2,3,2,1,1,2,2,1,1,2,2,1
87,8477,EN,18,1,187,1,187,25,18,White,1, ,Straight,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,1, , ,3,3,6,3, ,3, ,1, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,5,5,3,5,3,1,1,2,1,3,2,1,3,2,3,2,1,3,1,2,3,1,1,2,3,1,3,1,1,3
100,1828,EN,18,2,187,25,187,25,18, ,2, ,heterosexual,1,1, , , , , , , ,1, , ,1,1, , , , , , , , , , ,2,2,2, , ,1, , ,1,1,4,5, ,3, , , , , , ,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,5,5,3,3,5,3,1,1,2,1,3,2,2,3,1,3,1,1,3,1,2,3,1,1,3,2,1,2,1,2,3
100,1283,EN,19,2,187,44,187,44,19 Years,American,1, ,Heterosexual,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,1, , ,5,5,5,3, ,3, ,1,Christian, , , ,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,4,5,5,5,5,3,2,1,3,3,3,3,3,3,1,3,1,2,3,2,3,3,1,1,3,2,3,2,1,3,2
100,1855,EN,18,2,187,44,187,44,18,caucasian,1, ,Men, ,1, , , , , , , , , , , ,1, , , , , , , , , , ,2,2,2, , ,2,my aunt, ,2,1,8,3, ,2, ,11, , , , ,2,2,3,3,1,3,1,1,1,3,1,1,3,1,3,3,3,1,5,5,5,5,5,5,5,2,2,3,3,3,2,3,3,3,2,3,2,2,2,2,1,3,2,2,3,1,1,2,1,3,3
100,771,EN,19,1,187,25,187,1,1,white,1, ,male,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,2, , ,1,1,7,4, ,2, ,1, , , , ,2,1,1,2,5,5,3,1,1,1,5,1,1,1,1,2,2,2,2,2,2,1,5,5,5,1,2,2,2,1,2,2, ,2,2,3,2,3,1,1,3,2,1,1,1,1,1,1,3,1,2
100,2424,EN,18,2,187,25,187,25,18,Caucasian,1, ,straight,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,1, , ,3,2,10,3, ,3, ,11, , , , ,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5,3,2,1,2,1,2,3,1,3,1,2,1,1,3,1,2,3,1,1,2,2,1,1,1,2,3
100,1450,EN,18,2,187,25,187,25,18,white,1, ,heterosexual,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,1, , ,2,2,7,2, ,2, ,11, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,5,5,5,5,3,3,2,3,1,2,3,2,2,2,3,1,2,2,3,3,3,1,2,3,2,1,1,1,2,2
100,1700,EN,18,2,187,25,187,25,18,Mixed,5,White and Asian,Heterosexual,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,0, , ,1,1,6,5, ,5, ,2, , , , ,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,2,5,4,1,5,3,2,1,3,1,1,2,1,3,2,3,1,2,3,2,1,3,1,1,3,2,1,2,1,1,2
100,1119,EN,18,2,187,25,187,25,18,white,1, ,straight,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,1, , ,2,1,7,3, ,3, ,3, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5,5,3,1,1,2,1,1,2,2,2,1,3,1,1,3,1,1,3,1,1,3,3,1,3,1,2,3
100,1212,EN,19,2,187,36,187,44,17,american,1, ,heterosexual,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,3, , ,1,1,7,3, ,2, ,1, , , , ,2,2,4,3,4,1,1,1,2,1,3,3,1,1,1,1,1,5,5,5,5,5,3,4,4,2,2,2,3,3,2,1,2,3,3,3,2,1,2,2,3,3,2,2,3,1,2,3,3,1,2
100,2240,EN, ,1,187,49,187,45,10,White,1, ,Heterosexual, ,1,1, , , , , , , , , , ,1,1, , , , , , , , , ,2,2,2, , ,1, , ,2,1,7,3, ,2, ,11, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,3,1,1,2,2,2,3,1,3,1,3,1,1,3,2,2,3,1,1,3,2,1,2,1,1,2
100,1479,EN,19,2,187,42,187,42,19,white,1, ,female,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,1, , ,2,1,9,2, ,4, ,11, , ,1, ,1,3,3,3,3,3,3,3,1,1,2,2,1,1,1,1,1,4,2,4,3,5,1,3,2,3,2,1,3,1,1,2,1,3,3,3,2,1,3,3,3,3,1,1,3,3,1,2,1,2,2
100,1475,EN,19,2,187,10,187,25,18, ,1, , ,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,1, , ,3,1,7,2, ,2, ,1,methodist, , , ,3,3,3,4,4,4,3,1,3,2,4,3,1,1,1,1,1,4,4,4,3,3,3,1,4,3,2,1,3,2,3,2,2,2,1,3,2,1,2,2,2,3,1,2,2,2,1,3,1,2,2
100,1745,EN,18,2,187,1,187,25,18,Costa Rican,3, ,Heterosexual,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,1,2, , ,1, , ,1,1,5,2, ,5, ,2, , , , ,5,3,4,5,3,3,2,2,2,2,2,2,1,1,1,1,1,4,4,4,4,4,3,2,2,2,2,1,2,2,3,1,3,2,1,3,1,1,2,2,2,2,1,1,3,3,1,1,2,1,2
100,1578,EN,18,2,187,10,187,25,18,NA,1, , ,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,4,NA,NA,2,2,7,3, ,2, ,11, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,3,3,2,1,2,1,2,2,3,1,3,3,1,3,2,1,3,1,1,3,2,1,3,1,2,3
100,1632,EN,18,2,187,25,187,25,18 years,Japanese,4, ,Heterosexual,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,1,2, , ,One, , ,1,1,9,3, ,5, ,1, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,4,5,5,5,5,3,1,2,3,1,2,3,1,3,1,3,2,1,3,1,1,3,1,1,2,2,1,2,1,1,3
100,1825,EN,18,2,187,1,187,1,18,American,1, ,straight,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,2, , ,1,1,8,3, ,4, ,11, , , , ,3,2,2,4, ,1,1,1,1,2,1,2,1,1,1,1,1,4,5,5,5,5,4,4,5,3,2,3,3,2,3,3,3,3,3,3,1,2,3,3,3,2,1,1,2,3,1,2,1,3,2
100,2423,EN,18,2,187,25,187,25,18,White,1, ,Heterosexual,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,2,Biological mother,Biological father,4,4,6,2, ,3, ,1, , , , ,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5,5,3,3,1,2,2,1,2,3,2,3,3,2,1,2,3,3,3,2,2,3,2,1,2,1,3,2
100,2201,EN,19,1,187,25,187,25,19,Slavic,1, ,Straight,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,1, , ,1,1,7,3, ,3, ,3, , ,1, ,2,2,3,1,1,1,2,1,2,1,1,2,1,1,1,1,1,3,3,3,3,2,2,3,3,3,3,1,2,1,1,2,1,2,2,3,1,3,3,3,2,2,1,1,3,2,2,2,1,1,3
100,1299,EN,18,2,187,25,187,25,18,Caucasian,1, ,Female,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,1, , ,1,1,7,5, ,3, ,11, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,2,2,2,2,2,2,2,3,2,2,3,2,3,2,2,2,3,1,2,2,2,2,2,2,2,2
100,2160,EN,18,2,187,25,187,5,2,American,1, ,Heterosexual,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,1, , ,2,1,10,2, ,5, ,1,Non-denominational, , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,3,2,1,1,1,2,3,2,3,1,3,1,1,3,1,1,3,1,1,3,3,1,2,1,1,3
100,1554,EN,18,1,187,25,187,25,18,White,1, ,Straight,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,1,Friend's Mother,Friend's Father,1,1,6,3, ,3, ,1,Baptist, , , ,1,2,1,1,1,1,1,1,1,1,1,1,1, ,1,1,1,4,5,5,5,5,5,5,3,3,2,1,2,1,2,3,2,3,2,3,1,1,3,2,1,3,1,1,3,2,1,1,1,1,3
100,1381,EN,18,2,187,1,187,1,18,American,1, ,Heterosexual,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,2, , ,1,1,7,2, ,2, ,3, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,3,1,1,2,1,1,3,3,3,2,3,1,2,3,1,3,3,1,1,3,3,1,1,2,2,3
