Progress,Duration__in_seconds_,UserLanguage,Age,Gender,Countryborn,Stateborn,Countrycurrent,Statecurrent,Yearscurrent,Childbiodad,Childbiomom,Childstepdad,Childstepmom,Childadoptdad,Childadoptmom,Childaunt,Childuncle,Childgrandfather,Childgrandmother,Childfosterdad,Childfostermom,Currentbiodad,Currentbiomom,Currentstepdad,Currentstepmom,Currentadoptdad,Currentadoptmom,Currentaunt,Currentuncle,Currentgrandfather,Currentgrandmother,Currentfosterdad,Currentfostermom,Primarychild,Primarynow,Samesex,Parentdecease,Parentdeceasetext,Siblings,Primmomnow,Primdadnow,Hoursmom,Hoursdad,SubSES,FatherEd,FatherEdText,MotherEd,MotherEdText,Religionnow,ReligChristother,ReligOther,OtherMaternal,OtherMaternalText,DyadF1,DyadF2,DyadF3,DyadF4,DyadF5,DyadF6,DyadF7,DyadF8,DyadF9,DyadF10,DyadF11,DyadF12,DyadF13,DyadF14,DyadF15,DyadF16,DyadF17,DyadF18,DyadF19,DyadF20,DyadF21,DyadF22,DyadF23,DyadF24,DyadF25,FACES1,FACES2,FACES3,FACES4,FACES5,FACES6,FACES7,FACES8,FACES9,FACES10,FACES11,FACES12,FACES13,FACES14,FACES15,FACES16,FACES17,FACES18,FACES19,FACES20,FACES21,FACES22,FACES23,FACES24,FACES25,FACES26,FACES27,FACES28,FACES29,FACES30,FACES31,FACES32,FACES33,FACES34,FACES35,FACES36,FACES37,FACES38,FACES39,FACES40,FACES41,FACES42,FACES43,FACES44,FACES45,FACES46,FACES47,FACES48,FACES49,FACES50,FACES51,FACES52,FACES53,FACES54,FACES55,FACES56,FACES57,FACES58,FACES59,FACES60,FACES61,FACES62
84,1786,EN,18,1,111, ,187,1,12,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2,2, ,2, , ,2,1,8,4, ,4, ,1,Baptist/catholic, , , ,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,4,2,2,3,4,5,2,1,2,3,2,5,4,5,5,3,1,5, ,1,4,1,2,5,4,1,3,4,2,5,4,1,3,4,2,2,4,4,4,2,2,4,4,5,5,4,5,4,5,1,5,5,4,4,5,5,4,5,3,3,5
84,1875,EN,19,1,187,25,187,25,19,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2,2, ,4,Biological Mother,Biological Father,1,1,6,5, ,5, ,1, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4,4,4,4,4,4,2,2,4,5,5,2,2,4,1,5,4,2,2,2,2,4,4,2,2,2,2,4,4,2,2,4,2,4,4,2,2,4,2,4,4,2,2,2,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4
84,214976,EN, ,1,187,25,187,27,18,1,1, , , , , , , , , , , ,1, , , , , , , , , , ,2,2,2,2, , , ,my brother,1,1,4,2, ,3, ,1, , , , ,1,2,1,2,2,1,2,2,2,1,2,2,2,2,1,2,1,1,1,2,1,1,2,2,2,5,4,3,4,4,5,3,4,4,5,5,4,4,5,3,4,3,4,5,4,4,3,4,4,4,5,2,5,5,5,5,3,5,4,5,4,5,4,4,5,3,5,4,5,2,5,5,5,5,4,4,5,4,4,3,5,4,3,3,3,4,4
84,1437,EN,18,1,187,44,187,25,18,1,1,1, , , , , ,1,1, , , ,1,1, , , , , , , , , ,2,2,2,2, ,3, ,Step-father,1,2,7,4, ,2, ,1,Methodist, , , ,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4,4,4,5,4,2,2,2,2,5,3,1,2,2,2,5,5,2,3,2,1,4,4,1,2,4,2,5,4,2,2,2,2,4,2,2,1,4,1,5,3,4,1,2,1,4,4,4,4,4,4,4,4,3,4,5,4,5,5,5,5,4,4,5,5
84,1790,EN,18,1,187,25,187,25,1 year, ,1,1, , , , , , , , , , ,1, , , , , , , , , , ,2,2,2,2, ,5, , ,1,1,7,5, ,3, ,1,Church of God, ,1, ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
84,16722,EN,18,1,187,25,187,25,18,1,1, , , , , , , , , , ,1, , , , , , , , , , , ,2,1,2,1,Mother,1, , ,1,1,6,1, ,1, ,8, , , , ,5,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,5,5,3,3,5,5,3,3,3,5,5,3,4,5,5,4,5,4,3,4,5,5,4,5,4,5,4,5,4,4,5,3,4,5,4,5,2,4,4,4,3, ,5,5,5,5,3,5,4,5,5,4,4,3,5,5,5,4,4
84,2197,EN,18,1,187,25,187,25,18,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2,2, ,1, , ,2,1,6,3, ,4, ,1,Southern Baptist, , , ,2,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,4,4,4,2,4,4,2,2,2,4,2,4,4,1,1,4,2,4,4,2,2,4,2,5,4,2,3,3,4,5,1,2,1,4,2,4,4,3,1,4,2,5,3,4,3,2,2,4,3,4,4,4,4,4,3,2,3,4,3,3,4,3,4,4,3,3,3
84,331045,EN,18,1,187,44,187,44,18,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2,2, ,3, , ,1,1,7,4, ,3, ,1, , , , ,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,4,3,3,3,3,3,3,3,4,4,2,2,4,2,4,4,2,2,4,2,4,4,2,2,3,2,3,4,2,2,3,2,4,3,2,2,3,2,4,3,3,2,4,2,4,4,3,2,3,2,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4
84,4113,EN,18,1,187,25,187,25,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,3,3,3,5,5,4,4,4,4,5,3,2,4,3,3,3,2,1,3,4,4,4,3,1,1,4,4,3,2,2,4,4,3,2,4,3,3,3,2,4,2,2,3,5,3,4,3,2,4,4,4,4,3,4,4,3,4,4,3,4,4,3,5,4,3,4,3,4,3
86,32,EN, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
86,1379,EN,18,2,187,25,187,25,18,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,1, , ,2,1,6,5, ,3, ,1, , , , ,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,4,5,5,4,5,4,2,5,5,4,2,2,2,2,5,4,1,2,3,3,5,2,4,3,2,2,5,4,2,1,2,4,4,2,1,1,2,3,4,3,1,1,4,2,4,4,1,2,3,3,4,4,5,4,3,4,4,4,4,4,4,3,3,3,4,3,4,3,2,5
86,777,EN,18,2,187,25,187,25,18,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,1,Biological mother,biological father,3,3, ,5, ,3, ,11, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3, ,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5, ,5
86,1797,EN,18,2,187,25,187,25,18, ,1,1, , , , , , , , , , ,1, , , , , , , , , , ,2,2,2, , ,1-3, , ,1,1,5,4, ,5, ,1,nondenominational, , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,3,5,5,2,5,5,2,2,2,4,3,4,2,2,2,4,2,4,2,2,2,3,2,2,2,4,1,3,2,4,2,2,1,3,1,4,4,2,1,5,2,2,2,4,1,5,3,2,3,4,2,2,4,5,4,2,4,1,3,3,5,2,1,2,1,1,4
86,78,EN, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
86,181406,EN,18,2,187,25,187,25,18,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,1,2, , ,1, , ,2,1,8,5, ,3, ,13, ,church of christ, , ,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,5,4,5,3,5,5,4,5,5,3,3,2,2,2,5,4,1,2,2,4,5,2,2,2,1,1,4,4,1,2,4,4,4,2,2,2,3,2,5,3,2,3,4,4,4,5,2,2,2,3,4,4,5,4,3,4,3,5,2,5,5,3,2,3,3,3,3,3,2,5
87,1124,EN,18,2,187,44,187,44,18,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2, ,2, , ,1, , ,1,1,8,1, ,3, ,3, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,5,5,5,5,5,5,4,3,3,2,2,2,4,2,2,2,1,1,5,4,2,2,1,2,4,5,2,2,3,2,4,2,2,2,4,2,4,3,2,1,2,2,4,4,3,4,2,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4
87,3386,EN,19,2,187,25,187,25,19,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,3, , ,1,1,7,5, ,3, ,11, , , , ,3,3,3,2,2,1,2,1,3,1,1,1,1,1,1,1,1,1,3,2,2,2,2,1,2,5,2,2,3,2,1,4,1,1,2,3,1,5,4,1,2,1,1,5,4,1,3,4,1,5,2,1,1,4,1,4,2,2,1,4,2,4,4,3,3,2,1,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4
87,23161,EN,18,1,187,44,187,25,18,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,1, , ,2,1,7,5, ,5, ,1,Southern Baptist, , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,4,4,5,4,4,4,4,2,2,4,1,4,5,2,1,4,2,5,4,2,2,3,1,4,4,2,2,4,1,4,4,1,2,3,1,4,4,2,1,4,2,4,4,2,2,3,2,4,4,4,4,4,4,4,5,5,4,4,4,5,4,4,5,4,3,3,4
87,673,EN,19,1,187,25,187,25,19,1,1, , , , , , , , , , ,1, , ,1, , , , , , , , ,1,1,2, , ,2, , ,1,1,5,3, ,3, ,13, , , , ,1,2,3,4,5,4,3,2,1,2,3,4,5,4,3,2,1,2,3,4,5,4,3,2,1,1,2,3,4,5,4,3,2,1,2,3,4,5,4,3,2,1,2,3,4,5,4,3,2,1,2,3,4,5,4,3,2,1,2,3,4,5,4,3,2,1,2,3,4,5,4,3,2,1,2,3,4,1,2,3,4,5,4,3,2,1,2
87,1311,EN,18,2,187,44,187,44,18,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,3, , ,1,1,9,3, ,3, ,1, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,4,2,1,1,1,4,3,1,1,1,1,5,5,3,1,1,1,5,5,1,1,5,1,5,3,5,1,2,1,5,3,5,1,3,1,5,3,3,1,1,1,4,5,5,5,5,5,5,5,1,5,3,3,3,5,3,3,3,3,5,5
87,709,EN,18,1,187,25,187,25,18,1,1, , , , , , , , , , ,1, , , , , , , , , , , ,2,1,2, , ,3,my mother,my father,1,1,7,3, ,4, ,1, , , , ,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
87,168175,EN,18,2,187,25,187,25,15,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,2, , ,1,1,6,3, ,5, ,8, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,4,5,5,4,5,4,2,4,1,4,3,2,5,3,2,4,1,4,4,3,2,3,1,4,4,1,2,3,2,4,3,4,1,2,1,3,4,4,1,4,2,4,4,4,1,2,3,3,4,4,4,4,4,4,4,2,4,3,3,3,3,2,3,3,3,4,3
87,1720,EN,18,1,187,4,187,25,17,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,2, , ,1,1,7,3, ,2, ,3, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,2,2,2,3,4,5,3,2,3,4,5,4,2,1,2,2,4,4,2,3,3,3,3,4,3,2,3,1,4,3,4,1,4,3,5,4,4,2,3,2,4,4,5,4,4,4,4,4,3,4,4,3,4,4,3,3,3,3,3,3
87,8477,EN,18,1,187,1,187,25,18,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,1, , ,3,3,6,3, ,3, ,1, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,5,5,3,5,5,3,2,2,3,2,4,3,1,3,3,2,4,4,2,2,3,2,4,4,2,3,4,3,3,3,2,2,2,1,4,4,2,3,4,2,4,3,2,2,3,2,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4
100,1828,EN,18,2,187,25,187,25,18,1,1, , , , , , , ,1, , ,1,1, , , , , , , , , , ,2,2,2, , ,1, , ,1,1,4,5, ,3, , , , , , ,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,5,5,3,3,5,4,3,2,2,3,2,4,4,2,2,2,2,4,2,3,2,3,1,4,4,2,5,4,2,3,3,3,2,4,2,3,4,3,2,4,2,3,3,4,2,3,2,3,4,4,4,4,4,4,4,3,4,4,3,4,4,4,3,3,3,3,5
100,1283,EN,19,2,187,44,187,44,19 Years,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,1, , ,5,5,5,3, ,3, ,1,Christian, , , ,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
100,1855,EN,18,2,187,44,187,44,18, ,1, , , , , , , , , , , ,1, , , , , , , , , , ,2,2,2, , ,2,my aunt, ,2,1,8,3, ,2, ,11, , , , ,2,2,3,3,1,3,1,1,1,3,1,1,3,1,3,3,3,1,5,5,5,5,5,5,5,3,2,5,1,1,4,1,5,2,2,5,5,5,2,5,5,3,4,5,5,2,3,4,2,2,2,4,2,4,3,5,5,4,1,4,5,4,4,4,2,5,2,5,5,5,5,3,5,5,5,5,5,2,5,5,5,4,4,2,3,3,5
100,771,EN,19,1,187,25,187,1,1,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,2, , ,1,1,7,4, ,2, ,1, , , , ,2,1,1,2,5,5,3,1,1,1,5,1,1,1,1,2,2,2,2,2,2,1,5,5,5,3,1,1,2,2,2,2,2,2,2,2,2, ,1,4,5,5,5,5, ,5,2,2,2,2,5, ,2,5,2, ,5,2,5,2,5,1, ,1,1,2,2,5,2,2,5,5,2,5,1,1,2,1,2,2,5,1,3,5,1,2,1
100,2424,EN,18,2,187,25,187,25,18,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,1, , ,3,2,10,3, ,3, ,11, , , , ,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5,5,3,1,2,2,2,5,5,1,1,3,4,5,5,1,1,1,1,5,5,1,2,4,4,5,3,1,2,4,1,5,3,2,1,4,4,4,4,4,2,2,1,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5
100,1450,EN,18,2,187,25,187,25,18,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,1, , ,2,2,7,2, ,2, ,11, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,5,5,5,5,4,4,2,2,3,2,4,4,2,2,4,3,4,4,2,2,2,2,4,4,2,3,4,2,4,4,2,2,2,1,4,4,2,2,4,3,4,4,4,2,2,2,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5,3,4,4
100,1700,EN,18,2,187,25,187,25,18,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2, , ,0, , ,1,1,6,5, ,5, ,2, , , , ,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,2,5,4,1,5,4,1,3,2,1,4,4,2,2,4,1,2,4,3,5,1,1,4,4,4,4,2,1,5,4,1,2,1,2,2,4,1,4,1,3,2,4,3,4,2,2,5,2,2,4,3,2,4,4,2,2,4,3,1,3,2,1,1,3,1,1,3
